"","EURIRS","Rate_Name","Rate_Value"
"1","04/01/2021","X10.ANNI",-0.28
"2","04/01/2021","X15.ANNI",-0.1
"3","04/01/2021","X20.ANNI",-0.02
"4","04/01/2021","X25.ANNI",-0.02
"5","04/01/2021","X30.ANNI",-0.03
"6","05/01/2021","X10.ANNI",-0.27
"7","05/01/2021","X15.ANNI",-0.08
"8","05/01/2021","X20.ANNI",0
"9","05/01/2021","X25.ANNI",0.01
"10","05/01/2021","X30.ANNI",-0.02
"11","06/01/2021","X10.ANNI",-0.24
"12","06/01/2021","X15.ANNI",-0.05
"13","06/01/2021","X20.ANNI",0.04
"14","06/01/2021","X25.ANNI",0.04
"15","06/01/2021","X30.ANNI",0.01
"16","07/01/2021","X10.ANNI",-0.21
"17","07/01/2021","X15.ANNI",-0.02
"18","07/01/2021","X20.ANNI",0.06
"19","07/01/2021","X25.ANNI",0.08
"20","07/01/2021","X30.ANNI",0.05
"21","08/01/2021","X10.ANNI",-0.21
"22","08/01/2021","X15.ANNI",-0.02
"23","08/01/2021","X20.ANNI",0.05
"24","08/01/2021","X25.ANNI",0.08
"25","08/01/2021","X30.ANNI",0.05
"26","11/01/2021","X10.ANNI",-0.2
"27","11/01/2021","X15.ANNI",0
"28","11/01/2021","X20.ANNI",0.09
"29","11/01/2021","X25.ANNI",0.09
"30","11/01/2021","X30.ANNI",0.06
"31","12/01/2021","X10.ANNI",-0.18
"32","12/01/2021","X15.ANNI",0.02
"33","12/01/2021","X20.ANNI",0.11
"34","12/01/2021","X25.ANNI",0.12
"35","12/01/2021","X30.ANNI",0.12
"36","13/01/2021","X10.ANNI",-0.22
"37","13/01/2021","X15.ANNI",-0.03
"38","13/01/2021","X20.ANNI",0.05
"39","13/01/2021","X25.ANNI",0.06
"40","13/01/2021","X30.ANNI",0.04
"41","14/01/2021","X10.ANNI",-0.24
"42","14/01/2021","X15.ANNI",-0.03
"43","14/01/2021","X20.ANNI",0.04
"44","14/01/2021","X25.ANNI",0.05
"45","14/01/2021","X30.ANNI",0.02
"46","15/01/2021","X10.ANNI",-0.23
"47","15/01/2021","X15.ANNI",-0.04
"48","15/01/2021","X20.ANNI",0.05
"49","15/01/2021","X25.ANNI",0.06
"50","15/01/2021","X30.ANNI",0.04
"51","18/01/2021","X10.ANNI",-0.21
"52","18/01/2021","X15.ANNI",-0.03
"53","18/01/2021","X20.ANNI",0.06
"54","18/01/2021","X25.ANNI",0.07
"55","18/01/2021","X30.ANNI",0.05
"56","19/01/2021","X10.ANNI",-0.21
"57","19/01/2021","X15.ANNI",-0.02
"58","19/01/2021","X20.ANNI",0.07
